Date,Open,High,Low,Close,Direction,Buy Swing,Sell Swing
05/07/2015,5652,5669,5574,5596,DOWN,17,78
05/08/2015,5595,5671,5588,5643,UP,77,7
05/09/2015,5644,5667,5643,5656,UP,23,1
05/11/2015,5655,5689,5576,5595,DOWN,34,80
05/12/2015,5596,5686,5577,5632,UP,90,19
05/13/2015,5631,5726,5627,5700,UP,95,4
05/14/2015,5699,5707,5659,5702,UP,9,40
05/15/2015,5702,5755,5699,5726,UP,53,4
05/16/2015,5724,5744,5720,5739,UP,20,5
05/18/2015,5737,5750,5644,5662,DOWN,13,93
05/19/2015,5663,5685,5601,5608,DOWN,22,62
05/20/2015,5609,5626,5572,5610,UP,17,38
05/21/2015,5610,5672,5606,5662,UP,62,5
05/22/2015,5661,5696,5653,5673,UP,35,8
05/23/2015,5674,5679,5665,5666,DOWN,5,9
05/25/2015,5666,5736,5661,5716,UP,70,5
05/26/2015,5716,5779,5703,5751,UP,63,13
05/27/2015,5750,5754,5715,5733,DOWN,5,35
05/28/2015,5734,5761,5689,5711,DOWN,27,45
05/29/2015,5712,5807,5695,5765,UP,95,17
05/30/2015,5765,5769,5748,5755,DOWN,4,18
06/01/2015,5753,5758,5677,5730,DOWN,5,76
06/02/2015,5731,5773,5588,5621,DOWN,42,143
06/03/2015,5620,5647,5568,5594,DOWN,27,52
06/04/2015,5593,5611,5471,5489,DOWN,19,122
06/05/2015,5488,5526,5467,5491,UP,39,21
06/06/2015,5496,5506,5473,5498,UP,10,23
06/08/2015,5500,5503,5482,5490,DOWN,3,18
06/09/2015,5489,5522,5423,5438,DOWN,33,67
06/10/2015,5437,5505,5434,5504,UP,69,3
06/11/2015,5504,5582,5502,5581,UP,78,2
06/12/2015,5581,5585,5526,5534,DOWN,4,56
06/13/2015,5534,5542,5521,5527,DOWN,8,13
06/15/2015,5527,5553,5490,5520,DOWN,26,38
06/16/2015,5520,5578,5518,5546,UP,58,3
06/17/2015,5545,5610,5535,5587,UP,65,10
06/18/2015,5588,5597,5494,5549,DOWN,9,95
06/19/2015,5550,5619,5548,5603,UP,69,3
06/20/2015,5603,5608,5589,5592,DOWN,5,15
06/22/2015,5595,5637,5564,5629,UP,42,31
06/23/2015,5629,5697,5627,5681,UP,68,2
06/24/2015,5679,5709,5672,5698,UP,30,8
06/25/2015,5698,5705,5609,5626,DOWN,7,89
06/26/2015,5625,5629,5519,5561,DOWN,4,106
06/27/2015,5563,5565,5538,5560,DOWN,2,26
06/29/2015,5557,5558,5413,5460,DOWN,1,144
06/30/2015,5460,5471,5380,5435,DOWN,11,81
07/01/2015,5434,5539,5408,5537,UP,105,26
07/02/2015,5537,5613,5507,5579,UP,76,31
